sample,file1,file2
1068841_20180306_S,/1068841_20180306_S_R1.fastq.gz.c4gh,/1068841_20180306_S_R2.fastq.gz.c4gh
1447437_20171212_S,/1447437_20171212_S_R1.fastq.gz.c4gh,/1447437_20171212_S_R2.fastq.gz.c4gh
1128691_20171206_S,/1128691_20171206_S_R1.fastq.gz.c4gh,/1128691_20171206_S_R2.fastq.gz.c4gh
1128691_20171218_S,/1128691_20171218_S_R1.fastq.gz.c4gh,/1128691_20171218_S_R2.fastq.gz.c4gh
1128691_20180116_S,/1128691_20180116_S_R1.fastq.gz.c4gh,/1128691_20180116_S_R2.fastq.gz.c4gh
1162967_20180116_S,/1162967_20180116_S_R1.fastq.gz.c4gh,/1162967_20180116_S_R2.fastq.gz.c4gh
1590009_20171212_S,/1590009_20171212_S_R1.fastq.gz.c4gh,/1590009_20171212_S_R2.fastq.gz.c4gh
1282052_20180206_S,/1282052_20180206_S_R1.fastq.gz.c4gh,/1282052_20180206_S_R2.fastq.gz.c4gh
1316935_20180417_S,/1316935_20180417_S_R1.fastq.gz.c4gh,/1316935_20180417_S_R2.fastq.gz.c4gh
1651490_20171215_S,/1651490_20171215_S_R1.fastq.gz.c4gh,/1651490_20171215_S_R2.fastq.gz.c4gh
1447437_20171006_S,/1447437_20171006_S_R1.fastq.gz.c4gh,/1447437_20171006_S_R2.fastq.gz.c4gh
1465461_20180406_S,/1465461_20180406_S_R1.fastq.gz.c4gh,/1465461_20180406_S_R2.fastq.gz.c4gh
1470026_20180502_S,/1470026_20180502_S_R1.fastq.gz.c4gh,/1470026_20180502_S_R2.fastq.gz.c4gh
1565754_20171128_S,/1565754_20171128_S_R1.fastq.gz.c4gh,/1565754_20171128_S_R2.fastq.gz.c4gh
1565754_20180403_S,/1565754_20180403_S_R1.fastq.gz.c4gh,/1565754_20180403_S_R2.fastq.gz.c4gh
1586713_20180309_S,/1586713_20180309_S_R1.fastq.gz.c4gh,/1586713_20180309_S_R2.fastq.gz.c4gh
1593967_20180424_S,/1593967_20180424_S_R1.fastq.gz.c4gh,/1593967_20180424_S_R2.fastq.gz.c4gh
1593973_20180427_S,/1593973_20180427_S_R1.fastq.gz.c4gh,/1593973_20180427_S_R2.fastq.gz.c4gh
