Feature	COPF
Resistance to Daptomycin	1
Bacitracin resistance	1
VraTSR and LiaFSR three-component regulatory systems	1
CtsR and MscAB regulation of protein degradation	1
tRNA thiolation	2
Isoprenoid Biosynthesis: Interconversions	2
Tagatose utilization	2
ATP-dependent Nuclease	2
Damaged nicotinamide nucleotide NAD(P)HX repair	2
Paenibacillaceae	2
Ferrous iron transporter EfeUOB, low-pH-induced	2
Bacterial checkpoint-control-related cluster	3
Cadmium resistance	3
Pseudoalteromonadaceae	3
N-acetylneuraminate utilization	3
tRNA aminoacylation, Cys	3
Mevalonate metabolic pathway	3
tRNA aminoacylation, Asp	3
Twin-arginine translocation system	4
SecY2-SecA2 Specialized Transport System	4
Folate Biosynthesis	4
CoA disulfide thiol-disulfide redox system	4
Type I restriction-modification systems	5
Polyamine Metabolism	5
Fermentations: Lactate	5
DNA repair, bacterial MutHLS system	6
5-methylaminomethyl-2-thiouridine	6
IMP and Xanthine conversion to XMP and GMP module	6
tRNA aminoacylation, Asn	6
Resistance to Triclosan	7
Enoyl-[ACP] reductases disambiguation	7
Fatty Acid Biosynthesis cluster	7
tRNA aminoacylation, Met	7
tRNA aminoacylation, Arg	7
Undecaprenyl-diphosphatases	7
Lactose utilization	7
RNA pseudouridine synthases	8
Thiamin, thiazole, hydroxymethylpyrimidine salvage and uptake	8
Universal GTPases	8
Macrolides, lincosamides, streptogramins, ketolides, oxazolidinones (MLSKO) resistance: ribosomal protection	8
DNA internalization-related cluster	8
Peptide methionine sulfoxide reductase	8
Magnesium transport	9
Sex pheromones in Enterococcus faecalis and other Firmicutes	9
Ribonuclease J family	9
Galactose utilization	9
HPr catabolite repression system	10
Fatty Acid Biosynthesis FASII	10
Control of cell elongation - division cycle in Bacilli	10
D-alanylation of teichoic acid	10
Stress response and cell wall lysis cluster	10
Streptococcaceae	10
EcsAB transporter affecting expression and secretion of secretory preproteins	10
Late competence	10
BarA-UvrY(SirA) two-component regulatory system	10
L-serine dehydratase subunits	10
