Predictor	Feature	Importance
Mean squared error for Days Since First Sample using regressor is 12917.49177528149
Features appearing at least once
Days Since First Sample	COPF 88	0.050240707680583314
Days Since First Sample	COPF 112	0.049661098670490345
Days Since First Sample	COPF 20	0.044968560204505514
Days Since First Sample	COPF 139	0.041422531073090095
Days Since First Sample	COPF 123	0.04107955156789274
Days Since First Sample	COPF 108	0.035367842764511985
Days Since First Sample	COPF 116	0.03226275748698791
Days Since First Sample	COPF 106	0.03043713613828076
Days Since First Sample	COPF 57	0.02968095073832085
Days Since First Sample	COPF 22	0.022533184999427854
Days Since First Sample	COPF 121	0.022309028861470764
Days Since First Sample	COPF 94	0.022212177349391873
Days Since First Sample	COPF 120	0.021693269066500518
Days Since First Sample	COPF 131	0.021234224022484417
Days Since First Sample	COPF 114	0.02109173868488083
Days Since First Sample	COPF 83	0.020890416119237653
Days Since First Sample	COPF 105	0.020254036242376827
Days Since First Sample	COPF 45	0.019941706759460526
Days Since First Sample	COPF 115	0.01981568578171482
Days Since First Sample	COPF 7	0.019229610979197825

Mean squared error for Age using regressor is 101.8067215177764
Features appearing at least once
Age	COPF 29	0.06925625974561002
Age	COPF 123	0.06682833937111177
Age	COPF 72	0.05846588304276808
Age	COPF 26	0.04644030499342224
Age	COPF 119	0.0386767761321681
Age	COPF 139	0.038428211563439334
Age	COPF 65	0.03685895076056476
Age	COPF 64	0.035522584901120216
Age	COPF 133	0.03495128922366322
Age	COPF 35	0.030181356334680005
Age	COPF 114	0.02934866504637822
Age	COPF 48	0.02819393724871069
Age	COPF 144	0.024133666133940173
Age	COPF 143	0.022562501478317686
Age	COPF 140	0.021871257889619532
Age	COPF 46	0.0188489486968546
Age	COPF 138	0.01795201635645408
Age	COPF 24	0.017637193815193138
Age	COPF 69	0.01732612048413842
Age	COPF 106	0.016208498863961047

Mean squared error for Age groups using classifier is 2.076923076923077
Features appearing at least once
Age groups	COPF 65	0.03748284320045101
Age groups	COPF 105	0.027224793770018314
Age groups	COPF 64	0.0264205370377111
Age groups	COPF 67	0.025988126622864927
Age groups	COPF 106	0.025881994181421973
Age groups	COPF 51	0.02366644768649294
Age groups	COPF 78	0.01901218940733795
Age groups	COPF 101	0.017230540895025206
Age groups	COPF 93	0.01566142071523928
Age groups	COPF 4	0.015527182944597862
Age groups	COPF 102	0.014825178823904476
Age groups	COPF 147	0.013825950061407464
Age groups	COPF 25	0.013644615079031575
Age groups	COPF 40	0.013387704029609895
Age groups	COPF 73	0.01276166100130114
Age groups	COPF 132	0.0119989470582141
Age groups	COPF 53	0.011768141701694735
Age groups	COPF 58	0.01156741660828831
Age groups	COPF 20	0.011013495606455518
Age groups	COPF 124	0.010994889240545461

Mean squared error for H2_Uncorrected using regressor is 332.0469284925646
Features appearing at least once
H2_Uncorrected	COPF 72	0.07733237500929921
H2_Uncorrected	COPF 61	0.0640912718107689
H2_Uncorrected	COPF 104	0.052021180526277654
H2_Uncorrected	COPF 64	0.04718277135563079
H2_Uncorrected	COPF 43	0.04704086872171785
H2_Uncorrected	COPF 107	0.04449739742567067
H2_Uncorrected	COPF 14	0.04225289381682644
H2_Uncorrected	COPF 35	0.04185708407955427
H2_Uncorrected	COPF 27	0.03545102781010214
H2_Uncorrected	COPF 102	0.031708911777159746
H2_Uncorrected	COPF 149	0.029037016534503888
H2_Uncorrected	COPF 24	0.028699800616662045
H2_Uncorrected	COPF 94	0.025241184289933768
H2_Uncorrected	COPF 121	0.024251501755931822
H2_Uncorrected	COPF 74	0.023691573492038712
H2_Uncorrected	COPF 29	0.021975558923837006
H2_Uncorrected	COPF 111	0.02013468757478491
H2_Uncorrected	COPF 1	0.019482608595743543
H2_Uncorrected	COPF 58	0.018648181050866526
H2_Uncorrected	COPF 79	0.018596291936796263

Mean squared error for CH4_Uncorrected using regressor is 13.840188598582905
Features appearing at least once
CH4_Uncorrected	COPF 17	0.1118016500766921
CH4_Uncorrected	COPF 63	0.08645331367437029
CH4_Uncorrected	COPF 14	0.05666610826802155
CH4_Uncorrected	COPF 133	0.041072374921958095
CH4_Uncorrected	COPF 22	0.03547969751637132
CH4_Uncorrected	COPF 20	0.03264113227002575
CH4_Uncorrected	COPF 24	0.03239616722381501
CH4_Uncorrected	COPF 43	0.0323581044261239
CH4_Uncorrected	COPF 25	0.032100627203706114
CH4_Uncorrected	COPF 143	0.0312894330445055
CH4_Uncorrected	COPF 118	0.02995068299254227
CH4_Uncorrected	COPF 149	0.029049221038900445
CH4_Uncorrected	COPF 102	0.027061814423065166
CH4_Uncorrected	COPF 19	0.023092956256340894
CH4_Uncorrected	COPF 132	0.02105915496535398
CH4_Uncorrected	COPF 94	0.01924756621074647
CH4_Uncorrected	COPF 121	0.018938563782846148
CH4_Uncorrected	COPF 61	0.018021433659109253
CH4_Uncorrected	COPF 70	0.01380415941112014
CH4_Uncorrected	COPF 131	0.013765394484397413

Mean squared error for CO2 using regressor is 0.32497126037220364
Features appearing at least once
CO2	COPF 1	0.06314059338898688
CO2	COPF 109	0.052950318200363174
CO2	COPF 60	0.04250665399958615
CO2	COPF 138	0.0389639483349381
CO2	COPF 59	0.037265466337653555
CO2	COPF 114	0.029472837002248956
CO2	COPF 136	0.02828437212256259
CO2	COPF 89	0.027458999566096945
CO2	COPF 102	0.02669312487564279
CO2	COPF 126	0.02175719008501118
CO2	COPF 56	0.021280950983348722
CO2	COPF 45	0.021211107215755014
CO2	COPF 53	0.020091212474544484
CO2	COPF 149	0.019174044527185723
CO2	COPF 33	0.018948926217078995
CO2	COPF 62	0.018429880772530504
CO2	COPF 140	0.018039605258255022
CO2	COPF 74	0.017411121983636004
CO2	COPF 100	0.017271775342399584
CO2	COPF 67	0.016871185442599353

Mean squared error for H2_Corrected using regressor is 692.8126136625655
Features appearing at least once
H2_Corrected	COPF 128	0.07223513977211943
H2_Corrected	COPF 72	0.05855833534286755
H2_Corrected	COPF 107	0.05813592542853412
H2_Corrected	COPF 88	0.04962009435231818
H2_Corrected	COPF 24	0.04799511846031754
H2_Corrected	COPF 64	0.04594414649127858
H2_Corrected	COPF 43	0.04431139690637554
H2_Corrected	COPF 35	0.03307908762273031
H2_Corrected	COPF 65	0.032337842563450375
H2_Corrected	COPF 142	0.027841597809728277
H2_Corrected	COPF 27	0.02742908144174402
H2_Corrected	COPF 63	0.025354088704212813
H2_Corrected	COPF 121	0.023961122312366714
H2_Corrected	COPF 110	0.022981241086230737
H2_Corrected	COPF 14	0.019968206031633032
H2_Corrected	COPF 102	0.01955414097505603
H2_Corrected	COPF 122	0.019372215594150942
H2_Corrected	COPF 148	0.019275570734776835
H2_Corrected	COPF 39	0.018101902131097837
H2_Corrected	COPF 79	0.017202716921630296

Mean squared error for CH4_Corrected using regressor is 23.532739395562476
Features appearing at least once
CH4_Corrected	COPF 63	0.0814597158404019
CH4_Corrected	COPF 17	0.07848807888596544
CH4_Corrected	COPF 133	0.05919073000673821
CH4_Corrected	COPF 69	0.041616898910302395
CH4_Corrected	COPF 25	0.041023279572266876
CH4_Corrected	COPF 20	0.037465915375942266
CH4_Corrected	COPF 35	0.033925484860742865
CH4_Corrected	COPF 14	0.030042471819502786
CH4_Corrected	COPF 22	0.029083742170039756
CH4_Corrected	COPF 43	0.028303338602465544
CH4_Corrected	COPF 143	0.02540475824720785
CH4_Corrected	COPF 4	0.025228647619569857
CH4_Corrected	COPF 44	0.02195499802456755
CH4_Corrected	COPF 146	0.021529654126985327
CH4_Corrected	COPF 61	0.02089830952378953
CH4_Corrected	COPF 106	0.020517548662005038
CH4_Corrected	COPF 150	0.019900922316202056
CH4_Corrected	COPF 88	0.01901350411437404
CH4_Corrected	COPF 112	0.01696679375838932
CH4_Corrected	COPF 125	0.015769100972578852

Mean squared error for CH4/H2 ratio_corrected using regressor is 0.4504033302708252
Features appearing at least once
CH4/H2 ratio_corrected	COPF 59	0.14955660808218293
CH4/H2 ratio_corrected	COPF 33	0.12207050458914268
CH4/H2 ratio_corrected	COPF 144	0.09162794316760745
CH4/H2 ratio_corrected	COPF 115	0.0762820453846815
CH4/H2 ratio_corrected	COPF 99	0.05840149214636704
CH4/H2 ratio_corrected	COPF 62	0.0521982083961295
CH4/H2 ratio_corrected	COPF 90	0.049052657235426816
CH4/H2 ratio_corrected	COPF 10	0.04308367679319142
CH4/H2 ratio_corrected	COPF 20	0.04273964184082673
CH4/H2 ratio_corrected	COPF 61	0.032638640451277484
CH4/H2 ratio_corrected	COPF 123	0.027091895335906127
CH4/H2 ratio_corrected	COPF 77	0.024780800296991583
CH4/H2 ratio_corrected	COPF 92	0.02273095850900708
CH4/H2 ratio_corrected	COPF 26	0.02157895466065486
CH4/H2 ratio_corrected	COPF 70	0.01932567917886327
CH4/H2 ratio_corrected	COPF 89	0.01858935544459988
CH4/H2 ratio_corrected	COPF 112	0.01423994824416316
CH4/H2 ratio_corrected	COPF 104	0.01366387746222105
CH4/H2 ratio_corrected	COPF 119	0.01156015673968104
CH4/H2 ratio_corrected	COPF 146	0.008391051972394956

Mean squared error for Corr. using regressor is 0.06429989454950631
Features appearing at least once
Corr.	COPF 65	0.08990534508701348
Corr.	COPF 112	0.07379346674554095
Corr.	COPF 100	0.04750630709494152
Corr.	COPF 144	0.04232867474011434
Corr.	COPF 89	0.03967514974906696
Corr.	COPF 140	0.03134272099223541
Corr.	COPF 88	0.02939692361102768
Corr.	COPF 76	0.028794791757346987
Corr.	COPF 114	0.02745752673653611
Corr.	COPF 44	0.023795291916273623
Corr.	COPF 83	0.022523880627915556
Corr.	COPF 104	0.021049779610186937
Corr.	COPF 126	0.01992949107484434
Corr.	COPF 32	0.019927406293311436
Corr.	COPF 67	0.019446429157836783
Corr.	COPF 10	0.018028815490850482
Corr.	COPF 136	0.017953735547046407
Corr.	COPF 146	0.016749956471527782
Corr.	COPF 138	0.016508296961292534
Corr.	COPF 33	0.0160514178188685

Mean squared error for NTM using classifier is 0.12
Features appearing at least once
NTM	COPF 119	0.09209198127325441
NTM	COPF 88	0.058715051149592405
NTM	COPF 108	0.050057895581416975
NTM	COPF 65	0.04775215422972212
NTM	COPF 44	0.04751682153908284
NTM	COPF 58	0.046488603017874414
NTM	COPF 140	0.04603877835058143
NTM	COPF 126	0.045097389234054125
NTM	COPF 51	0.042115802631786846
NTM	COPF 91	0.03753303899433938
NTM	COPF 95	0.036631449141127356
NTM	COPF 90	0.026142053113223006
NTM	COPF 87	0.025254159306154128
NTM	COPF 53	0.02422729884601967
NTM	COPF 69	0.024204900198036332
NTM	COPF 43	0.023863053444572915
NTM	COPF 10	0.022333267099020192
NTM	COPF 11	0.017337955346125495
NTM	COPF 64	0.017111530873102878
NTM	COPF 66	0.01701926787241291

Mean squared error for Pseudomonas Culture using regressor is 0.2131607635473283
Features appearing at least once
Pseudomonas Culture	COPF 93	0.09376135778503701
Pseudomonas Culture	COPF 123	0.057046776292461625
Pseudomonas Culture	COPF 90	0.03844614145719699
Pseudomonas Culture	COPF 27	0.03664344217647215
Pseudomonas Culture	COPF 91	0.032225231552696874
Pseudomonas Culture	COPF 32	0.030652574328937816
Pseudomonas Culture	COPF 124	0.03064058097181709
Pseudomonas Culture	COPF 118	0.026681446492830732
Pseudomonas Culture	COPF 51	0.022928601668774064
Pseudomonas Culture	COPF 18	0.022224082774905205
Pseudomonas Culture	COPF 63	0.02164835848236475
Pseudomonas Culture	COPF 26	0.020878045795839253
Pseudomonas Culture	COPF 144	0.019359181207332606
Pseudomonas Culture	COPF 115	0.01922081768933165
Pseudomonas Culture	COPF 148	0.01912359006217671
Pseudomonas Culture	COPF 120	0.018777409302429035
Pseudomonas Culture	COPF 4	0.01831024481876385
Pseudomonas Culture	COPF 35	0.0182976687492665
Pseudomonas Culture	COPF 150	0.017885711817910675
Pseudomonas Culture	COPF 22	0.016945146276124614

Mean squared error for IgE using regressor is 77691.62631546955
Features appearing at least once
IgE	COPF 109	0.18884997869043274
IgE	COPF 1	0.14972599740064563
IgE	COPF 121	0.054892685520396146
IgE	COPF 46	0.05231228801344313
IgE	COPF 58	0.04269332173883763
IgE	COPF 118	0.03754271245288596
IgE	COPF 27	0.03187186899661676
IgE	COPF 12	0.029615851662664488
IgE	COPF 144	0.0234927567811941
IgE	COPF 81	0.021625267877118784
IgE	COPF 148	0.01828239472515798
IgE	COPF 142	0.01569071071498308
IgE	COPF 52	0.015247007890020021
IgE	COPF 85	0.015057058918763485
IgE	COPF 57	0.014523234693975224
IgE	COPF 91	0.01423200114009477
IgE	COPF 98	0.014193714566486713
IgE	COPF 102	0.013976343945909834
IgE	COPF 84	0.013850325361670062
IgE	COPF 71	0.013185081350571722

Mean squared error for Spec IgE using regressor is 465.81283935753453
Features appearing at least once
Spec IgE	COPF 142	0.24755570730788592
Spec IgE	COPF 120	0.24502288162044658
Spec IgE	COPF 16	0.05024279364724322
Spec IgE	COPF 146	0.048001463129650854
Spec IgE	COPF 90	0.03739534938206074
Spec IgE	COPF 134	0.03658895673603245
Spec IgE	COPF 137	0.02961729616169083
Spec IgE	COPF 141	0.027914259217171687
Spec IgE	COPF 124	0.026137935680224975
Spec IgE	COPF 77	0.025699060448754123
Spec IgE	COPF 27	0.02542297923499936
Spec IgE	COPF 8	0.023351160811779216
Spec IgE	COPF 75	0.023231811044798233
Spec IgE	COPF 112	0.013925860921708595
Spec IgE	COPF 32	0.013493372841397308
Spec IgE	COPF 126	0.011801754834562788
Spec IgE	COPF 101	0.008720415411449993
Spec IgE	COPF 145	0.006075482889706354
Spec IgE	COPF 98	0.005863255240634805
Spec IgE	COPF 5	0.005630759538196475

Mean squared error for Spec IgG using regressor is 4882.5753344768145
Features appearing at least once
Spec IgG	COPF 29	0.15401191449399806
Spec IgG	COPF 118	0.11659783657785262
Spec IgG	COPF 130	0.08730624166250492
Spec IgG	COPF 22	0.06942594364499458
