1	Column header	Column meaning	Number of unique entries	Type of data	Grouping
1	NAME	Sample name	127	Text	
1	MinION	MinION sequence ID	62	Text	
2	PromethION	MinION sequence ID	10	Text
3	MGI	MGI Sequence ID	127	Text	
4	pwCF_ID	ID of the person	64	Text	
5	Sample date	Sample Date (MM/DD/YYYY)	75	Date	
6	IP vs OP	In patient vs. outpatient	2	Categorical	
7	Hospital	"Which hospital did the sample come from, RAH or WCH?"	2	Categorical	
8	Room	Which room in the hospital did the sample come from?	59	Text	
9	Age	What was the age at sampling	30	Numeric	
10	Age groups	Grouped ages: 1=6; 2=7-10; 3=11-17; 4=18-24; 5=25-34; 6=34-44; 7=45-54	7	Categorical	
11	Paediatric vs Adult	Are they paeds or adults	2	Categorical	
12	Gender	Gender	2	Categorical	
13	Sample_Type	Sputum (S) or Broncheolar lavage (BAL)	2	Categorical	
14	H2_Uncorrected	Breath hydrogen concentration	46	Numeric	
15	CH4_Uncorrected	Breath methane concentration	18	Numeric	
16	CO2	Breath CO2 concentration	27	Numeric	
17	H2_Corrected	Breath hydrogen concentration	56	Numeric	
18	CH4_Corrected	Breath methane concentration	23	Numeric	
19	CH4/H2 ratio_corrected	"Ratio of methane to hydrogen, often used to identify small intestinal bacterial overgrowth (SIBO) or lactose intolerance."	64	Numeric	
20	Corr.	UNKOWN	30	Numeric	
21	Culture Result (Matched with sequenced sample)	Culture report from this sample	60	Text	
22	NTM	Was NTM detected in the current culture report?	3	Categorical	
23	Pseudomonas	Does the culture have Pseudomonas	3	Categorical	
24	Cutured in previous 12 months	What else was cultured in the previous 12 months (see the P12M columns):  0=nothing; 1= S. aureus; 2= P. aeruginosa; 3 = S. maltophilia; 4 = rapid NTM; 5 = slow NTM; 6 = Aspergillus; 7 = B. cepacia; 8 = H. influenzae; 9 = S. pneumoniae; 10 = A. xylosoxidans; 11 = Serratia marcescens; 12 = Inquilinus limosus; 13 = Scedosporum apiospermum; 14 = Moraxella catarrhalis	33	Text	
25	Others cultured	Other previous cultures	24	Text	
26	IgE	"IgE is an antibody produced by the immune system, typically in response to allergens. In pwCF, elevated IgE levels can indicate an allergic response, including allergic bronchopulmonary aspergillosis (ABPA), a condition caused by a hypersensitivity to the fungus Aspergillus that can lead to worsening lung function."	53	Numeric	
27	Spec IgE	"Specific Immunoglobulin E measures IgE antibodies targeted at specific allergens (e.g., Aspergillus or other environmental allergens). It helps to pinpoint particular allergens that may be triggering immune responses or exacerbations in pwCF"	34	Numeric	
28	Spec IgG	"Specific IgG antibodies are measured to detect immune responses to certain bacteria, viruses, or fungi. In pwCF, it is often used to assess chronic infections, such as those caused by Pseudomonas aeruginosa, where IgG levels can reflect the body's response to long-term bacterial presence"	22	Numeric	
29	Precipitins	"Precipitins are antibodies that form immune complexes with specific antigens, often used to detect fungal infections like Aspergillus in pwCF. Positive precipitins suggest that the pwCF has been exposed to certain fungi and developed an immune response, which is particularly relevant in diagnosing ABPA."	5	Numeric	
30	FVC	"Forced Vital Capacity is a measure of lung function that indicates the total amount of air a person can forcefully exhale after taking the deepest breath possible. In pwCF, a reduced FVC can indicate restricted lung capacity, often due to chronic lung damage or obstruction caused by thick mucus in the airways."	55	Numeric	
31	FEV1	"FEV1 measures how much air a person can forcefully exhale in one second after a full inhalation. It is a key measure of lung function in pwCF and is used to monitor disease progression. Lower FEV1 values indicate increased airway obstruction and reduced lung function, which is common in pwCF due to mucus buildup and lung infections."	59	Numeric	
32	Best FEV1	Best FEV1 refers to the highest recorded FEV1 value. It represents the best lung function and serves as a benchmark to compare current lung function and assess decline or improvement over time.	39	Numeric	
33	FEV1/best FEV1	Ratio of current FEV1 to Best FEV1	105	Numeric	
